sessionId,sampleIndex,action,source,x,y,eventTimeNs
4,7385,MOVE,current,700.1504,1827.2002,740924092458000
4,7386,MOVE,historical,699.5996,1827.5996,740924096730000
4,7387,MOVE,current,699.0996,1827.9502,740924100907500
4,7388,MOVE,historical,698.7002,1828.2998,740924105091000
4,7389,MOVE,current,698.25,1828.6504,740924109271500
4,7390,MOVE,historical,697.7002,1829.0,740924113660000
4,7391,MOVE,current,697.2002,1829.3506,740924117944500
4,7392,MOVE,historical,696.5996,1829.7002,740924122083000
4,7393,MOVE,current,696.0498,1830.0498,740924126294500
4,7394,MOVE,historical,695.7002,1830.2998,740924130644000
4,7395,MOVE,current,695.25,1830.5996,740924134924500
4,7396,MOVE,historical,694.7998,1830.9004,740924138808000
4,7397,MOVE,current,694.3496,1831.2002,740924142890000
4,7398,MOVE,historical,694.0,1831.4004,740924147323000
4,7399,MOVE,current,693.5996,1831.6504,740924151580500
4,7400,MOVE,historical,693.2998,1831.9004,740924155603000
4,7401,MOVE,current,692.9502,1832.1504,740924159743000
4,7402,MOVE,historical,692.5996,1832.2998,740924164111000
4,7403,MOVE,current,692.25,1832.5,740924168365000
4,7404,MOVE,historical,692.0,1832.7002,740924172974000
4,7405,MOVE,current,691.7002,1832.9004,740924177405500
4,7406,MOVE,historical,691.4004,1833.0,740924180776000
4,7407,MOVE,current,691.0996,1833.1504,740924184677000
4,7408,MOVE,historical,690.7998,1833.4004,740924189277000
4,7409,MOVE,current,690.5,1833.5996,740924193527500
4,7410,MOVE,historical,690.2998,1833.7002,740924197613000
4,7411,MOVE,current,690.0498,1833.8496,740924201781000
4,7412,MOVE,historical,689.7998,1834.0,740924206473000
4,7413,MOVE,current,689.5537,1834.1484,740924210841916
4,7414,MOVE,historical,689.4004,1834.2002,740924214473000
4,7415,MOVE,current,689.2002,1834.2998,740924218473000
4,7416,MOVE,historical,689.0996,1834.4004,740924223106000
4,7417,MOVE,current,688.9502,1834.5,740924227422500
4,7418,MOVE,historical,688.7998,1834.5996,740924231390000
4,7419,MOVE,current,688.6504,1834.7002,740924235532000
4,7420,MOVE,historical,688.5,1834.7002,740924239812000
4,7421,MOVE,current,688.3496,1834.75,740924244023000
4,7422,MOVE,historical,688.2998,1834.9004,740924248234000
4,7423,MOVE,current,688.2012,1834.998,740924252378928
4,7424,MOVE,historical,688.0996,1835.0,740924256618000
4,7425,MOVE,current,688.0029,1835.0488,740924260686743
4,7426,MOVE,historical,688.0,1835.0996,740924265035000
4,7427,MOVE,current,687.9531,1835.1475,740924268995678
4,7428,MOVE,historical,687.9004,1835.2002,740924273415000
4,7429,MOVE,current,687.8535,1835.2461,740924277305676
4,7430,MOVE,historical,687.7998,1835.2002,740924281899000
4,7431,MOVE,current,687.75586,1835.2002,740924285617104
4,7432,MOVE,historical,687.7002,1835.2998,740924290294000
4,7433,MOVE,current,687.6572,1835.3438,740924293929981
4,7434,MOVE,historical,687.5,1835.2998,740924298704000
4,7435,MOVE,current,687.416,1835.2998,740924302244404
4,7436,MOVE,historical,687.4004,1835.4004,740924307095000
4,7437,MOVE,current,687.3584,1835.4414,740924310560222
4,7438,MOVE,historical,687.2998,1835.5,740924315625000
4,7439,MOVE,current,687.2617,1835.5381,740924318877501
4,7440,MOVE,historical,687.2002,1835.5996,740924323969000
4,7441,MOVE,current,687.16113,1835.6387,740924327195210
4,7442,MOVE,historical,687.0996,1835.5996,740924332362000
4,7443,MOVE,current,687.0625,1835.5996,740924335513159
4,7444,MOVE,historical,687.0,1835.5996,740924340611000
4,7445,MOVE,current,686.96094,1835.5996,740924343831274
4,7446,MOVE,historical,686.9004,1835.7002,740924357513000
4,7447,MOVE,current,686.8828,1835.7178,740924360463414
4,7448,MOVE,historical,686.7998,1835.7998,740924374071000
